Boosted Post,Campaign Id,Campaign Name,Content Theme,Platform,Post Date,Post Time,Post Type,Target Audience,Clicks,Conversion Value Usd,Conversions,Cpc Usd,Ctr,Emoji Count,Engagement Rate,Engagements,Hashtag Count,Impressions,Reach,Sentiment Score,Spend Usd,Video Length Seconds,Word Count
伪,CMP1000,Summer Campaign 2025,Product Launch,TikTok,2024/1/11,1899/12/30 23:00:00,Carousel,"Professionals (25-54, B2B)",29,306.09,3,0.15,0.0166,2,0.0616,73,11,1745,1186,-0.3,4.45,0,13
真,CMP1000,Back to School Campaign 2024,Promotion,LinkedIn,2024/1/5,1899/12/30 15:00:00,Carousel,"Millennials (25-34, Suburban)",175,4567.75,34,0.39,0.0243,2,0.0685,320,12,7205,4669,0.37,67.92,0,35
真,CMP1000,Spring Campaign 2024,Promotion,X,2024/1/2,1899/12/30 11:00:00,Carousel,"Parents (30-45, Suburban)",52,300.93,5,2.08,0.0069,1,0.0251,122,13,7562,4851,0.08,108.04,0,49
伪,CMP1000,Fall Campaign 2025,User Testimonial,TikTok,2024/1/13,1899/12/30 15:15:00,Video,"Parents (30-45, Suburban)",212,271.86,19,0,0.0311,3,0.0781,380,13,6821,4867,0,0.58,16,7
真,CMP1000,Spring Campaign 2024,Behind-the-Scenes,Instagram,2024/1/25,1899/12/30 7:15:00,Video,"Gen Z (18-24, Urban)",21,352.17,3,1.12,0.0128,9,0.0276,40,15,1635,1450,-0.3,23.54,49,11
真,CMP1000,Summer Campaign 2024,Behind-the-Scenes,LinkedIn,2024/1/18,1899/12/30 20:00:00,Image,"Parents (30-45, Suburban)",339,5679.6,55,0.16,0.0375,10,0.1012,628,3,9049,6205,0.71,54.35,0,41
真,CMP1000,Summer Campaign 2024,User Testimonial,Facebook,2024/1/8,1899/12/30 11:00:00,Video,"Professionals (25-54, B2B)",558,4205.95,66,0.28,0.0359,9,0.0658,836,7,15564,12705,-0.61,154.48,75,32
真,CMP1000,Holiday Campaign 2025,Lifestyle,Instagram,2024/1/1,1899/12/30 21:30:00,Video,"Professionals (25-54, B2B)",230,3413.39,39,0.43,0.0202,1,0.0664,644,9,11397,9705,0.18,97.77,108,32
真,CMP1000,Back to School Campaign 2024,Lifestyle,X,2024/1/8,1899/12/30 11:15:00,Image,"Millennials (25-34, Suburban)",30,46.57,3,0.14,0.0113,0,0.0298,61,12,2655,2046,0.66,4.18,0,11
真,CMP1000,Summer Campaign 2025,Product Launch,Facebook,2024/1/10,1899/12/30 11:45:00,Reel,"Parents (30-45, Suburban)",241,1849,14,0.47,0.0138,3,0.0679,754,6,17480,11107,0.49,112.27,48,5
真,CMP1000,Summer Campaign 2024,Promotion,X,2024/1/22,1899/12/30 10:15:00,Image,"Parents (30-45, Suburban)",254,2571.28,20,0,0.0386,7,0.0696,409,7,6586,5873,0.59,1.21,0,12
真,CMP1000,Spring Campaign 2024,Product Launch,Instagram,2024/1/10,1899/12/30 9:45:00,Reel,"Gen X (35-50, Mixed)",230,2477.08,26,0.85,0.024,6,0.0894,634,11,9574,7089,0.49,194.72,52,35
伪,CMP1000,Back to School Campaign 2024,Product Launch,X,2024/1/2,1899/12/30 8:00:00,Image,"Millennials (25-34, Suburban)",253,651.56,15,0.01,0.0265,5,0.0606,436,6,9565,7197,0.47,1.46,0,8
真,CMP1000,Holiday Campaign 2024,User Testimonial,TikTok,2024/1/27,1899/12/30 14:00:00,Image,"Professionals (25-54, B2B)",71,1226.42,13,0.14,0.0132,10,0.0479,183,10,5364,3821,0.11,9.82,0,31
伪,CMP1000,Summer Campaign 2025,Promotion,Instagram,2024/1/26,1899/12/30 22:00:00,Image,"Professionals (25-54, B2B)",62,1791.15,12,0.14,0.0204,3,0.0821,196,1,3044,2388,0.17,8.62,0,50
真,CMP1000,Fall Campaign 2024,Lifestyle,LinkedIn,2024/1/17,1899/12/30 6:15:00,Reel,"Parents (30-45, Suburban)",675,6251.12,47,0.19,0.0297,3,0.0656,1169,0,22690,17817,1,131.36,43,27
真,CMP1000,Holiday Campaign 2024,Lifestyle,TikTok,2024/1/27,1899/12/30 17:45:00,Carousel,"Millennials (25-34, Suburban)",72,595.03,6,0.03,0.0284,6,0.1158,183,4,2532,1580,1,2.27,0,6
真,CMP1000,Holiday Campaign 2024,Promotion,Facebook,2024/1/27,1899/12/30 23:00:00,Story,"Gen Z (18-24, Urban)",224,3861.85,28,0.78,0.0227,5,0.0656,493,14,9877,7513,0.34,174.77,45,12
伪,CMP1000,Fall Campaign 2024,Lifestyle,Instagram,2024/1/11,1899/12/30 13:30:00,Story,"Gen Z (18-24, Urban)",240,4462.67,37,0.01,0.0237,9,0.0752,578,6,10107,7688,0.69,2.53,101,10
伪,CMP1000,Fall Campaign 2025,Promotion,Facebook,2024/1/7,1899/12/30 10:00:00,Image,"Professionals (25-54, B2B)",141,474.05,10,0.02,0.0162,10,0.0514,345,14,8692,6711,0.92,3.34,0,35
真,CMP1000,Fall Campaign 2025,Promotion,X,2024/1/23,1899/12/30 14:00:00,Reel,"Millennials (25-34, Suburban)",851,6209.74,63,0.13,0.0489,4,0.0876,1240,11,17406,14150,0.25,108.02,63,10
伪,CMP1000,Holiday Campaign 2025,Lifestyle,LinkedIn,2024/1/27,1899/12/30 19:45:00,Reel,"Parents (30-45, Suburban)",195,298.34,23,0.04,0.0313,6,0.0704,318,1,6233,4519,1,7.13,47,28
真,CMP1000,Fall Campaign 2024,User Testimonial,Instagram,2024/1/18,1899/12/30 7:30:00,Reel,"Parents (30-45, Suburban)",44,680.83,8,0.29,0.0166,2,0.0369,86,9,2658,2332,-0.12,12.86,14,44
真,CMP1000,Fall Campaign 2024,Behind-the-Scenes,TikTok,2024/1/6,1899/12/30 11:45:00,Reel,"Professionals (25-54, B2B)",52,1267.17,9,0.4,0.0084,9,0.0309,124,8,6195,4007,-0.37,20.88,113,13
真,CMP1000,Summer Campaign 2024,Promotion,Facebook,2024/1/7,1899/12/30 10:15:00,Reel,"Professionals (25-54, B2B)",157,385.57,30,0.39,0.0129,3,0.0553,411,12,12177,7429,0.6,60.84,22,19
伪,CMP1000,Summer Campaign 2024,User Testimonial,Instagram,2024/1/21,1899/12/30 19:30:00,Carousel,"Parents (30-45, Suburban)",321,5277.61,38,0.02,0.0507,4,0.0853,468,9,6326,5484,1,6.16,0,44
真,CMP1000,Back to School Campaign 2024,Product Launch,X,2024/1/23,1899/12/30 6:15:00,Carousel,"Professionals (25-54, B2B)",282,503.27,38,0.06,0.0344,4,0.0581,406,13,8196,6993,0.53,18.06,0,28
真,CMP1000,Holiday Campaign 2025,Promotion,X,2024/1/15,1899/12/30 9:00:00,Story,"Professionals (25-54, B2B)",59,267.39,4,1.49,0.0138,10,0.0292,85,6,4260,2911,0.32,87.89,19,47
伪,CMP1000,Spring Campaign 2024,Product Launch,LinkedIn,2024/1/8,1899/12/30 17:00:00,Story,"Professionals (25-54, B2B)",72,562.94,5,0.24,0.0102,8,0.0368,166,6,7030,4506,-0.11,17.57,20,34
伪,CMP1000,Summer Campaign 2024,User Testimonial,Facebook,2024/1/9,1899/12/30 16:30:00,Story,"Parents (30-45, Suburban)",324,5429.64,59,0,0.0348,4,0.0913,550,8,9298,6026,0.58,1.26,39,37
真,CMP1000,Back to School Campaign 2024,Behind-the-Scenes,LinkedIn,2024/1/28,1899/12/30 20:00:00,Video,"Parents (30-45, Suburban)",55,275.28,5,0.65,0.0196,7,0.062,118,7,2799,1904,0.03,35.67,80,30
真,CMP1000,Fall Campaign 2025,Lifestyle,Instagram,2024/1/3,1899/12/30 21:00:00,Reel,"Gen X (35-50, Mixed)",349,2193.43,24,0.06,0.0343,2,0.0999,740,1,10175,7404,0.18,21.08,97,35
真,CMP1000,Spring Campaign 2024,Promotion,X,2024/1/2,1899/12/30 23:15:00,Story,"Millennials (25-34, Suburban)",282,2602.04,55,0.34,0.0196,1,0.0506,460,10,14413,9091,-0.1,95.42,109,43
伪,CMP1000,Spring Campaign 2024,Lifestyle,Facebook,2024/1/11,1899/12/30 12:00:00,Image,"Professionals (25-54, B2B)",43,211.95,2,0.05,0.0221,10,0.0598,87,2,1945,1456,0.3,2.31,0,15
伪,CMP1000,Fall Campaign 2025,Lifestyle,Instagram,2024/1/5,1899/12/30 14:00:00,Video,"Gen Z (18-24, Urban)",43,518.93,5,0.06,0.0152,4,0.0504,107,8,2835,2124,-0.16,2.7,116,27
真,CMP1000,Fall Campaign 2025,Product Launch,Instagram,2024/1/15,1899/12/30 16:00:00,Carousel,"Millennials (25-34, Suburban)",63,485.61,11,0.36,0.0147,7,0.035,98,9,4291,2801,0.26,22.63,0,40
真,CMP1000,Spring Campaign 2025,Behind-the-Scenes,LinkedIn,2024/1/6,1899/12/30 15:15:00,Image,"Gen Z (18-24, Urban)",159,265.2,12,0.2,0.029,8,0.1164,509,13,5480,4374,0.09,32.45,0,24
伪,CMP1000,Spring Campaign 2025,Behind-the-Scenes,X,2024/1/8,1899/12/30 22:15:00,Story,"Millennials (25-34, Suburban)",209,3351.65,23,0.02,0.0493,6,0.1116,317,2,4239,2841,0.35,4.2,10,6
真,CMP1000,Back to School Campaign 2024,Product Launch,TikTok,2024/1/2,1899/12/30 12:30:00,Video,"Professionals (25-54, B2B)",274,412.36,38,0.14,0.0246,6,0.1027,827,2,11153,8052,-0.05,39.32,27,25
伪,CMP1000,Back to School Campaign 2024,Product Launch,Facebook,2024/1/21,1899/12/30 11:15:00,Carousel,"Professionals (25-54, B2B)",382,3274.16,61,0.01,0.0476,10,0.1081,555,6,8018,5132,-0.39,2.58,0,36
真,CMP1000,Spring Campaign 2024,Behind-the-Scenes,Instagram,2024/1/21,1899/12/30 12:30:00,Image,"Professionals (25-54, B2B)",50,82.41,7,0.05,0.0153,8,0.0501,105,5,3273,2097,1,2.33,0,18
伪,CMP1000,Summer Campaign 2025,Lifestyle,X,2024/1/21,1899/12/30 21:15:00,Reel,"Professionals (25-54, B2B)",144,2534.88,23,0.03,0.0228,7,0.0459,228,0,6318,4965,0.29,4.97,67,45
真,CMP1000,Spring Campaign 2024,User Testimonial,Facebook,2024/1/16,1899/12/30 12:15:00,Story,"Parents (30-45, Suburban)",210,2038.27,17,0.8,0.0103,5,0.0506,652,10,20318,12894,0.43,168.87,10,33
伪,CMP1000,Summer Campaign 2025,Product Launch,Instagram,2024/1/26,1899/12/30 19:15:00,Video,"Professionals (25-54, B2B)",218,808.64,39,0.02,0.0348,8,0.0867,437,12,6265,5038,-0.17,4.97,24,42
伪,CMP1000,Holiday Campaign 2024,Behind-the-Scenes,X,2024/1/10,1899/12/30 13:45:00,Story,"Gen Z (18-24, Urban)",127,1148.78,8,0,0.0171,7,0.06,381,12,7437,6354,1,0.63,102,18
伪,CMP1000,Spring Campaign 2025,Lifestyle,Instagram,2024/1/10,1899/12/30 14:00:00,Reel,"Gen Z (18-24, Urban)",181,188.44,9,0,0.0379,6,0.0921,297,3,4773,3224,-0.15,0.6,100,36
真,CMP1000,Spring Campaign 2025,Product Launch,LinkedIn,2024/1/23,1899/12/30 7:15:00,Story,"Parents (30-45, Suburban)",29,125.38,4,0.22,0.026,2,0.085,71,3,1117,835,0.41,6.45,19,24
伪,CMP1000,Fall Campaign 2024,User Testimonial,Facebook,2024/1/26,1899/12/30 22:30:00,Image,"Gen Z (18-24, Urban)",118,518.04,17,0.05,0.0166,9,0.0667,290,4,7102,4351,0.31,6.28,0,13
真,CMP1000,Back to School Campaign 2025,User Testimonial,LinkedIn,2024/1/1,1899/12/30 15:00:00,Video,"Millennials (25-34, Suburban)",213,1450.69,22,0.04,0.0334,3,0.1087,603,8,6371,5546,-0.22,7.5,118,32
真,CMP1000,Fall Campaign 2024,Promotion,LinkedIn,2024/1/15,1899/12/30 16:00:00,Reel,"Professionals (25-54, B2B)",23,157.26,3,0.27,0.0094,4,0.0326,71,0,2455,2179,0.3,6.32,115,8
真,CMP1000,Back to School Campaign 2025,Lifestyle,Facebook,2024/1/13,1899/12/30 9:15:00,Carousel,"Parents (30-45, Suburban)",273,611.19,52,0.48,0.0263,4,0.057,460,7,10378,8070,-0.03,130.46,0,36
真,CMP1000,Summer Campaign 2025,Lifestyle,X,2024/1/1,1899/12/30 19:45:00,Story,"Gen Z (18-24, Urban)",177,2833.16,34,0.3,0.0139,1,0.0379,356,14,12742,9390,1,52.54,89,48
真,CMP1000,Summer Campaign 2025,Behind-the-Scenes,LinkedIn,2024/1/3,1899/12/30 10:30:00,Story,"Gen Z (18-24, Urban)",156,4177.2,30,0.53,0.0148,2,0.0281,238,12,10568,8462,0.68,82.05,115,40
真,CMP1000,Back to School Campaign 2025,Behind-the-Scenes,LinkedIn,2024/1/3,1899/12/30 17:45:00,Image,"Parents (30-45, Suburban)",63,1421.22,10,3.16,0.0065,5,0.0211,169,15,9641,8027,0.3,199.09,0,47
真,CMP1000,Spring Campaign 2024,Behind-the-Scenes,Instagram,2024/1/9,1899/12/30 9:45:00,Story,"Professionals (25-54, B2B)",287,1651.11,22,0.1,0.0275,8,0.0926,615,6,10432,6644,-0.17,27.72,82,36
真,CMP1000,Fall Campaign 2024,Product Launch,Instagram,2024/1/21,1899/12/30 12:45:00,Video,"Parents (30-45, Suburban)",153,879.99,27,0.12,0.0178,7,0.0732,388,6,8585,5301,0.62,18.45,96,30
真,CMP1000,Back to School Campaign 2024,User Testimonial,LinkedIn,2024/1/3,1899/12/30 6:00:00,Video,"Millennials (25-34, Suburban)",24,111.87,2,0.27,0.0114,3,0.0339,59,3,2105,1741,0.72,6.59,56,6
真,CMP1000,Back to School Campaign 2024,Lifestyle,Facebook,2024/1/3,1899/12/30 6:00:00,Story,"Professionals (25-54, B2B)",47,290.43,5,1.35,0.0106,1,0.0313,119,7,4430,3799,0.42,63.45,119,46
真,CMP1000,Summer Campaign 2024,Lifestyle,Facebook,2024/1/18,1899/12/30 15:30:00,Image,"Parents (30-45, Suburban)",671,1889.33,78,0.24,0.0285,10,0.0564,1160,10,23528,20579,0.91,159.66,0,13
真,CMP1000,Spring Campaign 2025,Product Launch,X,2024/1/26,1899/12/30 19:45:00,Reel,"Professionals (25-54, B2B)",134,1542.41,14,0.19,0.0145,9,0.0376,288,7,9247,7654,1,24.93,118,43
真,CMP1000,Holiday Campaign 2025,Promotion,TikTok,2024/1/27,1899/12/30 13:00:00,Video,"Millennials (25-34, Suburban)",258,1742.64,15,0.14,0.0267,6,0.0746,437,2,9658,5861,-0.25,35.02,5,45
真,CMP1001,Summer Campaign 2025,Product Launch,LinkedIn,2024/2/9,1899/12/30 8:15:00,Video,"Parents (30-45, Suburban)",226,2415.71,35,0.54,0.0157,8,0.0324,362,13,14383,11187,0.32,121.32,96,31
伪,CMP1001,Back to School Campaign 2025,Product Launch,Facebook,2024/2/22,1899/12/30 6:45:00,Reel,"Professionals (25-54, B2B)",1,0,0,3.34,0.0034,2,0.0215,4,13,297,186,0.88,3.34,75,14
真,CMP1001,Holiday Campaign 2024,Promotion,Instagram,2024/2/27,1899/12/30 20:15:00,Carousel,"Gen Z (18-24, Urban)",298,391.3,20,0.13,0.0489,9,0.1084,570,9,6098,5258,0.78,39.31,0,45
真,CMP1001,Spring Campaign 2025,Behind-the-Scenes,Facebook,2024/2/5,1899/12/30 20:00:00,Reel,"Professionals (25-54, B2B)",162,2652.63,30,0.47,0.0271,10,0.0835,303,5,5975,3630,0.83,76.04,64,38
真,CMP1001,Spring Campaign 2025,Product Launch,TikTok,2024/2/12,1899/12/30 8:00:00,Carousel,"Gen Z (18-24, Urban)",320,2093.81,41,0.36,0.0238,6,0.0566,684,12,13440,12092,0.84,114.22,0,43
真,CMP1001,Holiday Campaign 2025,Behind-the-Scenes,X,2024/2/12,1899/12/30 13:45:00,Image,"Gen Z (18-24, Urban)",253,791.99,18,0.18,0.0219,8,0.0755,777,12,11551,10297,0.4,46.75,0,14
真,CMP1001,Holiday Campaign 2025,Product Launch,Instagram,2024/2/22,1899/12/30 17:00:00,Story,"Millennials (25-34, Suburban)",198,1547.11,21,0.28,0.0204,10,0.0624,442,3,9711,7084,-0.04,56.24,119,33
真,CMP1001,Spring Campaign 2024,Lifestyle,Instagram,2024/2/13,1899/12/30 15:45:00,Reel,"Parents (30-45, Suburban)",82,316.81,5,0.68,0.013,1,0.0612,263,10,6325,4296,-0.39,55.37,78,27
真,CMP1001,Back to School Campaign 2025,User Testimonial,LinkedIn,2024/2/1,1899/12/30 17:30:00,Image,"Gen Z (18-24, Urban)",28,689.31,5,0.24,0.0085,7,0.0255,63,5,3284,2473,0.37,6.64,0,34
真,CMP1001,Holiday Campaign 2024,User Testimonial,LinkedIn,2024/2/9,1899/12/30 16:00:00,Carousel,"Parents (30-45, Suburban)",37,264.46,4,0.35,0.0138,1,0.032,64,9,2677,1998,-0.1,12.96,0,38
真,CMP1001,Back to School Campaign 2025,Behind-the-Scenes,Facebook,2024/2/18,1899/12/30 20:00:00,Reel,"Gen Z (18-24, Urban)",310,3251.42,29,0.63,0.0112,5,0.0259,450,8,27587,17398,0.64,196.83,53,43
真,CMP1001,Summer Campaign 2025,Product Launch,Instagram,2024/2/20,1899/12/30 6:30:00,Image,"Professionals (25-54, B2B)",610,3296.18,117,0.3,0.0537,10,0.1031,907,11,11362,8796,0.16,181.6,0,43
真,CMP1001,Summer Campaign 2025,Behind-the-Scenes,Instagram,2024/2/15,1899/12/30 6:15:00,Image,"Professionals (25-54, B2B)",418,2362.07,45,0.16,0.0265,4,0.0994,1164,4,15788,11716,0.2,65,0,8
真,CMP1001,Spring Campaign 2024,Lifestyle,LinkedIn,2024/2/8,1899/12/30 12:15:00,Carousel,"Gen X (35-50, Mixed)",417,3327.96,45,0.24,0.0324,4,0.0634,686,6,12871,10826,0.13,99.82,0,36
真,CMP1001,Summer Campaign 2025,Lifestyle,LinkedIn,2024/2/6,1899/12/30 19:30:00,Story,"Millennials (25-34, Suburban)",210,3898.99,30,0.02,0.0244,5,0.0729,427,8,8613,5856,0.8,3.25,46,6
伪,CMP1001,Holiday Campaign 2025,Behind-the-Scenes,X,2024/2/11,1899/12/30 18:00:00,Reel,"Gen X (35-50, Mixed)",93,337.84,16,0.04,0.0184,6,0.0569,239,8,5042,4202,0.39,3.81,115,17
